gene	celltype
Mylk	Pa-mes
Neat1	Pa-mes
Pdgfra	Wnt2-mes
Itga8	Wnt2-mes
Nebl	Wnt2-mes
Wnt2	Wnt2-mes
Mmp2	Axin2-Pa-mes
Wif1	Axin2-Pa-mes
Sfrp4	Axin2-Pa-mes
Pdgfa	Axin2-Pa-mes
Acta2	Axin2-mes
Aoc3	Axin2-mes
Notch3	Axin2-mes
1200016O07Rik	Axin2-mes
Pdgfrb	Axin2-mes

